image_path,label,source_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00063_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00074_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00189_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00287_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00393_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00461_0_0_0_0_1_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00536_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00676_0_0_0_0_1_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00749_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00777_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00780_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00864_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00879_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00973_0_1_0_2_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_00975_0_1_0_2_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_01062_0_1_0_2_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_01375_0_1_0_2_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_01401_0_1_0_2_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_01505_0_1_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_01531_0_1_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0001_01761_0_1_0_2_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00025_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00028_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00047_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00107_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00234_0_0_0_0_1_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00243_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00263_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00888_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0002_00990_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0003_00190_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0003_00216_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0003_00232_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0003_00300_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0003_00315_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0003_00343_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0003_00420_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0003_00441_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00088_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00134_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00244_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00286_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00311_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00347_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00428_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00483_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00558_0_0_0_0_0_01.png,closed,mrl_dataset
E:\sem 4\kecemes\dataset\mrl_dataset\test\close_eyes_test\s0004_00674_0_0_0_0_0_01.png,closed,mrl_dataset
