image_path,label,source_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00063_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00074_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00189_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00287_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00393_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00461_0_0_0_0_1_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00536_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00676_0_0_0_0_1_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00749_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00777_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00780_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00864_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00879_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00973_0_1_0_2_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_00975_0_1_0_2_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_01062_0_1_0_2_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_01375_0_1_0_2_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_01401_0_1_0_2_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_01505_0_1_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_01531_0_1_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0001_01761_0_1_0_2_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0002_00025_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0002_00028_0_0_0_0_0_01.png,closed,mrl_dataset
D:\Kecemes\Warning_Jalan_Tol-2472001-2472003-2472014\dataset\mrl_dataset\test\close_eyes_test\s0002_00047_0_0_0_0_0_01.png,closed,mrl_dataset
